,F1_Cloth_Red,F2_Nylon_Yellow,F3a_Cloth_Blue,F3b_Cloth_Blue,F4a_Nylon_Maroon,F4b_Nylon_Maroon,V1_field_spectrum,V2a_field_spectrum,V3_field_spectrum
MF,71.25,108.875,56.875,455,103,824,826,743,832
ACE,6.875,0.0,0.0,1,0,0,27,0,0
