,F1_Cloth_Red,F2_Nylon_Yellow,F3a_Cloth_Blue,F3b_Cloth_Blue,F4a_Nylon_Maroon,F4b_Nylon_Maroon,V1_field_spectrum,V2a_field_spectrum,V3_field_spectrum
MF_GMM,0.0016803261763678392,0.0026803786571989343,0.0015977133111896853,0.0016026857262755637,0.002229432301153613,0.0022315947839052852,0.002608270572636485,0.0026116188018696514,0.0029715534444350196
ACE_GMM,0.00038283023153416144,1.7300024275840517e-05,3.348341343309902e-06,1.2276840521609472e-05,0.00017969391763991572,0.00018080437859097586,0.00012276840521609472,2.232152822110813e-06,9.319238032312644e-05
MF_Single,0.0007946889774853005,0.0013349048601251864,0.00024108003857280618,0.0002544654217206327,0.0010089646058787814,0.0010223259925267523,0.000763396265161898,0.0008035750159598926,0.0006071455676141411
ACE_single,0.0003928799439253171,2.678738849749538e-05,0.0,0.0,2.6786670952534018e-05,2.6785833865329757e-05,0.0,0.0,0.0
