,F1_Cloth_Red,F2_Nylon_Yellow,F3a_Cloth_Blue,F3b_Cloth_Blue,F4a_Nylon_Maroon,F4b_Nylon_Maroon,V1_field_spectrum,V2a_field_spectrum,V3_field_spectrum
MF,0.375,0.25,0.0,0,0,0,0,0,0
ACE,0.375,0.0,0.125,0,0,0,0,0,0
