,F1_Cloth_Red,F2_Nylon_Yellow,F3a_Cloth_Blue,F3b_Cloth_Blue,F4a_Nylon_Maroon,F4b_Nylon_Maroon,V1_field_spectrum,V2a_field_spectrum,V3_field_spectrum
MF_GMM,0.0015235072140577862,0.002598350583122106,0.0012120982134386645,0.0012165232880503932,0.0019286403085824494,0.0019319282675369087,0.0022511261210987547,0.002399564283769124,0.002783494569172184
ACE_GMM,0.0004497978699894415,1.3393574655785131e-05,5.580581362644035e-06,1.562506975477569e-05,0.0002042483660130719,0.00020424198322313938,0.000137277398559815,0.0,7.589319595176764e-05
MF_Single,0.0007946889774853005,0.0013349048601251864,0.00024108003857280618,0.0002544654217206327,0.0010089646058787814,0.0010223259925267523,0.000763396265161898,0.0008035750159598926,0.0006071455676141411
ACE_single,0.0003928799439253171,2.678738849749538e-05,0.0,0.0,2.6786670952534018e-05,2.6785833865329757e-05,0.0,0.0,0.0
